SE,total_correct,invalid,valid,num_features,num_layers,regl2,roc_area
1.837713085,68,53,15,15,0,0.001,0.998977553
1.350201831,68.2,53,15,17,0,0.001,0.99930643
1.759217666,68,53,15,19,0,0.001,0.999219021
1.962227576,68,53,15,20,0,0.001,0.998944354
2.088786135,68,53,15,22,0,0.001,0.998475363
1.576260384,68,53,15,24,0,0.001,0.999185202
2.091796387,68,53,15,26,0,0.001,0.998974731
2.011334373,68,53,15,28,0,0.001,0.998922348
2.066843393,68,53,15,30,0,0.001,0.998256674
1.750938542,68,53,15,15,0,0.0001,0.998809073
2.645057148,68,53,15,17,0,0.0001,0.941917742
2.402151492,68,53,15,19,0,0.0001,0.95772733
2.444135854,68,53,15,20,0,0.0001,0.955978398
2.579788308,67,53,14,22,0,0.0001,0.997660499
2.919517814,68,53,15,24,0,0.0001,0.946897372
2.693322946,68,53,15,26,0,0.0001,0.940288698
2.794098417,68,53,15,28,0,0.0001,0.94047003
2.552438859,68,53,15,30,0,0.0001,0.939174992
2.410969849,68,53,15,15,0,1.00E-05,0.94062585
2.124028547,68,53,15,17,0,1.00E-05,0.977514898
2.093888297,68,53,15,19,0,1.00E-05,0.998385845
2.582856078,68,53,15,20,0,1.00E-05,0.943307466
2.559788757,68,53,15,22,0,1.00E-05,0.940869481
2.729553328,68,53,15,24,0,1.00E-05,0.937256861
2.433382381,68,53,15,26,0,1.00E-05,0.946686258
2.545487366,68,53,15,28,0,1.00E-05,0.942970979
2.751340886,68,53,15,30,0,1.00E-05,0.939960552
3.538832274,67,52,15,15,0,1.00E-06,0.938020917
2.235720737,68,53,15,17,0,1.00E-06,0.996936007
2.685456982,68,53,15,19,0,1.00E-06,0.941548522
2.430915329,68,53,15,20,0,1.00E-06,0.939638621
3.015976561,67,52,15,22,0,1.00E-06,0.940113325
2.502065779,68,53,15,24,0,1.00E-06,0.99670989
3.658349731,67,53,14,26,0,1.00E-06,0.939357671
3.043834288,68,53,15,28,0,1.00E-06,0.939985918
2.529606359,68,53,15,30,0,1.00E-06,0.942879633
2.204548165,68,53,15,15,0,1.00E-07,0.98876846
2.068069568,68.2,53,15,17,0,1.00E-07,0.96333561
2.407271777,68,53,15,19,0,1.00E-07,0.942052486
2.488905368,68,53,15,20,0,1.00E-07,0.94395863
2.423956065,68,53,15,22,0,1.00E-07,0.943520106
2.32480729,68,53,15,24,0,1.00E-07,0.95669052
2.252610608,68,53,15,26,0,1.00E-07,0.961178028
2.439845802,68,53,15,28,0,1.00E-07,0.941222936
2.56038181,68,53,15,30,0,1.00E-07,0.942569579
