SE,total_correct,num_features,num_layers,regl2,roc_area,valid,invalid
14.97327349,60.4,15,0,0.001,0.750262041,12,50
13.74598949,61.6,17,0,0.001,0.794675679,11,51
10.01511763,63.6,19,0,0.001,0.836412426,14,50
8.590838737,64,20,0,0.001,0.756900073,14,53
7.131750629,64,22,0,0.001,0.937673236,14,50
12.9846311,63,24,0,0.001,0.68324906,11,52
10.13700933,63.6,26,0,0.001,0.699612126,10,53
13.96397189,62,28,0,0.001,0.629791074,11,51
9.39717719,64,30,0,0.001,0.671839265,12,52
17.27661772,60,15,0,0.0001,0.563768273,10,50
21.37499208,58,17,0,0.0001,0.525377676,8,50
14.30992799,61,19,0,0.0001,0.666636907,12,49
12.14860141,63,20,0,0.0001,0.644169289,12,51
12.1503775,63,22,0,0.0001,0.702014974,13,50
8.086246998,64,24,0,0.0001,0.709778748,13,51
18.21533919,60,26,0,0.0001,0.543407043,10,50
10.98818018,63,28,0,0.0001,0.590163492,11,52
18.09200724,59,30,0,0.0001,0.499080423,11,48
15.02467039,61,15,0,1.00E-05,0.669734639,12,49
22.71292637,57,17,0,1.00E-05,0.575911925,9,48
11.7616241,63,19,0,1.00E-05,0.639084734,11,52
17.08012663,60,20,0,1.00E-05,0.607802102,10,50
10.48734131,63,22,0,1.00E-05,0.663318228,12,51
15.2770598,61,24,0,1.00E-05,0.580382589,9,52
12.64169208,63,26,0,1.00E-05,0.588818611,11,52
15.60099069,60,28,0,1.00E-05,0.635189762,11,49
21.64268659,58,30,0,1.00E-05,0.498615176,8,50
15.40373372,60,15,0,1.00E-06,0.582356959,10,50
25.9803168,56,17,0,1.00E-06,0.454227267,8,48
16.96221768,60,19,0,1.00E-06,0.660067584,11,49
12.15583648,63,20,0,1.00E-06,0.641136046,10,53
19.12189552,58,22,0,1.00E-06,0.599802218,10,48
18.9583838,59,24,0,1.00E-06,0.624109352,10,49
13.77793423,61.8,26,0,1.00E-06,0.611517706,9,50
15.8442869,60,28,0,1.00E-06,0.546511636,9,51
15.6717477,61,30,0,1.00E-06,0.519478795,11,50
17.21757262,59,15,0,1.00E-07,0.602677142,10,49
19.39472849,58,17,0,1.00E-07,0.587464435,9,49
15.0518775,61,19,0,1.00E-07,0.602752575,11,50
10.41271456,62,20,0,1.00E-07,0.636699138,11,51
11.8316514,63,22,0,1.00E-07,0.763763034,13,50
17.12329409,59,24,0,1.00E-07,0.522957211,9,50
11.09259819,63,26,0,1.00E-07,0.658006154,12,51
17.80941746,60,28,0,1.00E-07,0.455110849,10,50
21.11149575,58,30,0,1.00E-07,0.4375,10,48
